iteration,timestamp,shard,initial_soc_l1_mwh,first_battery_departure_mw,hours,no_reset,endpoint_movement_l1_mwh,dc_endpoint_movement_l1_mwh,dc_throughput_mwh,ac_throughput_mwh,excess_throughput_mwh,planned_charge_mwh,planned_discharge_mwh,max_planned_soc_excursion_l1_mwh,first_fleet_power_mw,second_fleet_power_mw,third_fleet_power_mw,clean_round_trip,archive_path,archive_sha256,controller
3760,2025-06-06 16:00:00+00:00,shard-005,0.0005487111909304176,220.07390863963298,3,True,21.655348106325178,21.654988058880733,21.654994892815,462.34701901766834,440.6916709113432,220.3458481444005,242.00117087326788,222.64593045521542,-220.07390964264573,2.028151369325613,239.7010810021875,False,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-005/window-003760-f14e13ddd3d02e43.json.gz,f9ed8c47d06dea1473d6fd0031ecf2d4ef0e710431bff2d41ab592a7b9772836,ac-3760-00-primary_controlling
4504,2025-07-07 16:00:00+00:00,shard-006,5.0184289100529966e-05,219.51862828105894,3,True,21.655025014966625,21.654977615832017,21.65497761583204,461.79888657509565,440.14386156012904,220.07193078006466,241.72695579503102,224.24174324485745,-219.5186150782689,3.6164967629969715,237.5571433302383,False,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-004504-speculative.json.gz,c9dbfb4eca0b0455a697f1cbbe70c0451cc3e4fbe1c04325023612d4e9629cda,s4b-shard-006/ac-004504/spec-v1-00
4840,2025-07-21 16:00:00+00:00,shard-006,8.576491228495797e-05,214.67781620405233,3,True,21.65508285715839,21.655021853170837,21.655021853170826,451.0102203712015,429.3551375140431,214.67757397812974,236.33264639307185,221.46584675313028,-214.6773136960497,6.788015889523303,229.5443702214685,False,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-004840-speculative.json.gz,b374bc545ae0826edf6c882f8a052815cf0fa665253a978d85689166e7af54db,s4b-shard-006/ac-004840/spec-v1-00
4552,2025-07-09 16:00:00+00:00,shard-006,3.192767733317843e-05,211.7774609839771,3,True,0.0038133649959821983,0.0038008998836040206,0.0038085343676199225,424.3699418346896,424.3661284696936,212.1830729562565,212.18686887843316,212.1868592853755,-211.7700363799439,-0.4092398413608469,212.18307214348144,False,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-004552-speculative.json.gz,e3bc61b3849b3601f5f677d4c11e2dc39af76a9f1aed434566c1bb80a997ca35,s4b-shard-006/ac-004552/spec-v1-00
3400,2025-05-22 16:00:00+00:00,shard-004,3.946289473977238e-05,207.48035961591768,3,True,8.42074623533251e-05,4.9591044623820135e-05,5.376396081984495e-05,415.7311532910452,415.73106908358284,207.86558976361317,207.865563527432,207.86557352560877,-207.4803796567729,-0.3851938688352115,207.86554728942693,True,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-004/window-003400-speculative.json.gz,4cfcbddb3c17676a22680751bea8a8be7acdce39592cf0bfa2e9785d25c967bd,s4b-shard-004/ac-003400/spec-v1-00
3544,2025-05-28 16:00:00+00:00,shard-004,2.272603300629713e-05,202.63361085595776,3,True,6.861983943419608e-05,5.3118929568127376e-05,5.7561750591632454e-05,405.2675257398369,405.26745711999746,202.63378049607428,202.6337452437627,202.63376598737523,-202.63362990298887,-0.0001326040736611825,202.63372725475094,True,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-004/window-003544-speculative.json.gz,c93d483be20574a05ba754c89adb34c304e29f5809c84a2cfa4b043107839c9a,s4b-shard-004/ac-003544/spec-v1-00
5200,2025-08-05 16:00:00+00:00,shard-006,0.00013664560635039038,200.4111718104763,3,True,0.0005129200777567473,0.0003793054803648442,0.000384213143474853,400.8236288166378,400.82311589656,200.41200737503178,200.41162144160603,200.41179136061143,-200.4112664188969,-0.0005249417120803614,200.41140542718324,True,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-005200-speculative.json.gz,d383a1b30aa95fe675a88d7261cb9cc9817882be57ebc56b210c8aea20a36cab,s4b-shard-006/ac-005200/spec-v1-00
4000,2025-06-16 16:00:00+00:00,shard-005,1.1659512222039758e-05,197.52473796604758,3,True,5.6074907888836734e-05,4.8293797004439476e-05,5.2885141068337587e-05,395.68398348582053,395.68392741091264,197.84201597655425,197.84196750926634,197.84200798233914,-197.52474709626145,-0.31726088607722014,197.84195951505075,True,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-005/window-004000-1b1dac6f6a79f019.json.gz,1b0404fd5e889ef452bb41d0001a7d88dd51500c992a09a4880dba84d13cd190,ac-4000-00-primary_controlling
4528,2025-07-08 16:00:00+00:00,shard-006,1.6854394510712467e-05,196.68123313589035,3,True,15.451251353356238,15.451246168059818,15.45125403578658,409.4561272107927,394.0048758574365,197.00244675258992,212.45368045820285,201.27554010183363,-196.68120072041563,3.9518530773701728,208.1805813486584,False,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-004528-speculative.json.gz,4966273455d232fe4a46acb759a8e33ca4acaec6c2c19a43f1e0fb9849428ee6,s4b-shard-006/ac-004528/spec-v1-00
5080,2025-07-31 16:00:00+00:00,shard-006,7.741698438934463e-05,196.6586839405023,3,True,0.0004087389277671605,0.0003342051503238963,0.0003392607836450732,395.7296193737496,395.7292106348218,197.86464558306173,197.86497379068786,197.86481658175813,-196.65860540078233,-1.2058434576970114,197.8647770661055,True,/Users/bmeyers/github/cvxopf/experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-006/window-005080-speculative.json.gz,b559b63997816b13fccbc6fe42b46c79cdfbf60e22393edb876b5ac66cc19d68,s4b-shard-006/ac-005080/spec-v1-00
