month,recovery_selected,load_mw,net_load_mw,available_nd_mw,renewable_fraction,p95_dc_utilization,dc_branches_ge_95pct,dc_soc_fraction,dc_charging_mw,dc_discharging_mw,signpost_power_fraction,absolute_net_ramp_mw,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh,hours
1,False,4680.194682302384,4101.68508355199,578.509598750394,0.12465495511102301,0.9290362524617028,9.226573426573427,0.5366913647013819,24.0704666348327,23.392208977403985,0.30238564332020484,115.11286114124421,171.35621627180794,805.4358939012756,317.0398388147338,0.1402346986169012,18.531724706053875,-7.386727023993626,30.68010790671336,715
1,True,4703.696415187241,4276.672318468057,427.0240967191841,0.09128368963159351,0.9525164278725259,10.517241379310345,0.36865125212154704,8.95117115852506,42.12675461243546,0.3042689917732679,109.52198761358804,181.05021509057423,858.5933841428696,338.77158452614765,-2.6094421227658455,25.081159850198674,0.07832284054697045,40.36521108134211,29
2,False,4614.448588666624,4041.795980310605,572.6526083560198,0.12465106836868382,0.9118260708685895,8.45076923076923,0.5876348197359027,18.848267713852405,19.04943691147103,0.24538294779558786,122.49395065842138,164.41328014596286,784.0477276731351,309.8172237635861,-0.10682713376050305,17.34605552734375,-5.948599765851004,29.70919078555061,650
2,True,4393.976115000819,3913.898532104224,480.07758289659415,0.10702976748888143,0.8846254124769978,7.2727272727272725,0.5794083890569923,2.9975972945522353,7.0629581316428944e-06,0.05272160938842465,106.4477469089673,148.7864547763745,718.4893615168116,284.8514533702186,2.0382748536459325,11.452966350874677,-15.749195706399574,23.212587124284127,22
3,False,4455.433857242371,3817.809036897802,637.6248203445696,0.14425629638345974,0.9274711490632742,9.327707454289733,0.4706057139670647,9.71495727320554,9.802120090244873,0.1448406774476941,133.0278783722267,151.8881123605131,827.3471057498664,337.72949669467664,-0.20124430666556037,18.616446151574706,10.856975147351553,35.36694171579726,711
3,True,4359.805770788364,3876.608575986562,483.1971948018015,0.11013422022147143,0.9235680985944132,9.0,0.4968871134779203,5.681869051923539,0.8810396740903936,0.052781125131125865,108.69277136049857,147.63816757150704,796.4475193366387,324.4046758825658,4.336153776979435,14.949280887094679,4.340164487934213,34.26163821830686,33
4,False,4270.707179764364,3574.1863966371047,696.52078312726,0.16431172518471815,0.933165419377844,10.090361445783133,0.2784057736685953,2.2120590488088103,1.8024329526740586,0.0682589747929871,142.76489242129762,138.45234485084686,891.4173982253369,376.482526687245,-0.03383132437941362,26.05156147730447,16.21543381827847,56.577041706217486,664
4,True,4185.008127333001,3702.8677271289635,482.1404002040368,0.11342960973136987,0.9167458323011364,9.107142857142858,0.23443355744931318,1.2811664842226185,1.682842832201597,0.10351941397053363,139.86296842822162,135.20349199630326,843.8361159122234,354.31631195796007,1.438529828600654,21.077857238931166,1.2263737447036793,78.70657973373963,56
5,False,4052.3356185088237,3332.0249659759597,720.3106525328643,0.1794679056262571,0.9315169728755626,9.835479256080115,0.3501165183570009,0.7102399692576582,0.5332999438092425,0.044411589072618704,153.65343539587462,123.60039273978508,945.1999171333395,410.7997621967771,-0.17634719090882434,23.72499680261236,3.2606655213364024,52.52266563181786,699
5,True,4032.7953806821333,3660.04430941664,372.75107126549386,0.09275434128435893,0.8993772686006088,8.066666666666666,0.30555669309631567,0.6349798547406238,0.17409994211180563,0.047530038644762004,113.9182457316299,126.56692052567914,786.882443488549,330.15776148143493,1.4481391363979728,16.17023285717595,-46.26506603688688,61.81447520397673,45
6,False,3895.6986136037567,3138.9113244762393,756.7872891275173,0.19547688583899733,0.9372466955956181,10.269565217391305,0.41275105462198775,0.8950971091439519,0.7788399937090187,0.07309350809587165,157.38169357148362,115.05914373663126,991.7997643330443,438.37031029820656,-0.34020526445571336,16.751848376264423,7.604564441691972,32.091587130375565,690
6,True,4007.455650114,3648.398752322287,359.0568977917132,0.08936510771413113,0.9035576827255564,8.466666666666667,0.4020700604991599,0.2177864817009159,0.6381714200420366,0.03983904723643013,113.14698882521739,114.9836977776731,821.4752564541471,353.24577933823707,9.10195365419619,9.423023166179501,-26.564197739450993,33.60921865458354,30
7,False,3850.6083016639946,3149.975058816386,700.6332428476087,0.18416728091347107,0.9249432139770061,9.8,0.6054526139610964,1.024825811425196,0.705943704588094,0.06937049553682034,152.87162905652855,111.21902250220913,969.1216959548871,428.9513367263389,0.006870993889252158,15.976334188137846,5.418830698987505,31.164519546590668,740
