month,load_mwh,available_nd_mwh,net_load_mwh,solar_mwh,wind_mwh,load_mw_mean,load_mw_min,load_mw_max,available_nd_mw_mean,available_nd_mw_min,available_nd_mw_max,net_load_mw_mean,net_load_mw_min,net_load_mw_max,solar_mw_mean,solar_mw_min,solar_mw_max,wind_mw_mean,wind_mw_min,wind_mw_max,renewable_to_load_energy,shortfall_hours,shortfall_events,shortfall_energy_mwh,peak_shortfall_mw,longest_shortfall_hours,hours_net_below_dispatchable,aggregate_headroom_mwh,load_mw_largest_up_ramp_mw_per_hour,load_mw_largest_down_ramp_mw_per_hour,net_load_mw_largest_up_ramp_mw_per_hour,net_load_mw_largest_down_ramp_mw_per_hour
2025-01,3482746.393886634,426018.06191138807,3056728.331975246,177737.57310738965,248280.48880399845,4681.1107444712825,3743.3607392160006,5419.507247196,572.6049219239087,82.87901664338094,1355.8020932782656,4108.505822547373,2927.1333074811255,5158.927681602179,238.8945875099323,0.0,895.8070349782097,333.7103344139764,82.87901664338094,545.906190660285,0.1223224472098198,0,0,0,0,0,744,1790431.6680247542,262.7168590199999,-502.75068778199966,275.1848562975265,-508.40830100950825
2025-02,3096059.0571633237,382785.9022551379,2713273.154908186,180275.09746868,202510.80478645788,4607.230739826375,3861.5600181060013,5329.466368548,569.62187835586,90.64838054086077,1374.2185216623905,4037.6088614705145,3090.168236100081,5087.314983459141,268.2665140902976,0.0,1004.1242183489085,301.35536426556234,90.64838054086077,541.1809768370213,0.12363649891286461,0,0,0,0,0,672,1664806.845091814,253.8625324200002,-508.58230516799995,292.61267513188886,-511.41287239698886
2025-03,3311687.062935342,469296.75469344837,2842390.3082418935,229449.73570669122,239847.01898675718,4451.192288891589,3656.8640812619997,5148.599624909999,630.7752079213016,96.49505123510272,1597.6380099521587,3820.417080970287,2661.0833868166224,4936.284070956604,308.4001824014667,0.0,1170.5517388691903,322.37502551983494,96.49505123510272,531.733333491905,0.1417092695580612,0,0,0,0,0,744,2004769.6917581062,256.03097919000083,-499.0838690460023,325.1838533208693,-502.4201472159384
2025-04,3070110.0224941857,489489.6624079267,2580620.3600862594,256408.22094731766,233081.44146060897,4264.041697908591,3377.0808545040004,5006.138057339998,679.8467533443426,122.3049567771591,1772.243061489894,3584.194944564249,2367.7272014585096,4761.490449253693,356.1225290934968,0.0,1347.7373000377547,323.7242242508458,101.96374598915074,552.6873072129158,0.1594371728770361,0,0,0,0,0,720,2110179.6399137406,249.6557240519969,-508.2713411159989,379.4213528721484,-513.3282490769197
2025-05,3014058.389468364,520270.94432741945,2493787.445140945,289386.41985999176,230884.52446742757,4051.1537492854354,3188.9696953799994,4863.700652202001,699.2889036658863,85.11025347177056,1731.0442559690835,3351.8648456195497,1990.3961724358296,4571.045200937528,388.96024174730076,0.0,1441.5727883260215,310.32866191858545,85.11025347177056,527.9848379651074,0.17261475296740608,0,0,0,0,0,744,2353372.554859055,259.7590821000026,-503.9494133520043,393.4544354688164,-512.6396911039392
2025-06,2808255.712890012,532954.9364317383,2275300.7764582736,293593.72765694855,239361.20877478976,3900.3551567916834,3004.1874457559998,4700.795435868,740.2151894885254,119.62144249303003,1968.8387153411518,3160.139967303158,1641.0257509491764,4318.771277704697,407.76906619020633,0.0,1498.491632440008,332.4461232983191,100.73875465578516,547.1221348623784,0.1897814839245061,0,0,0,0,0,720,2415499.2235417264,257.3633065500003,-505.8435681600022,419.87453254913,-518.7101532427946
2025-07,2864651.003384226,520558.33745347126,2344092.665930755,295443.74476540054,225114.59268807076,3850.3373701400888,2871.614132898,4563.335215992001,699.6751847492893,90.13288406510341,1888.972904621437,3150.6621853907996,1505.0810527023955,4466.335591821597,397.1018074803771,0.0,1446.4550262112698,302.5733772689123,87.3002906239914,525.3733000165082,0.18171789053483195,0,0,0,0,0,744,2503067.334069245,268.8587532539973,-507.23496537000074,402.9438266204461,-511.7250102300195
2025-08,2861885.6641621683,523069.60548346245,2338816.0586787057,274685.02773150906,248384.57775195336,3846.6205163470004,2908.35272049,4612.9761477659995,703.0505450046538,110.4652162881491,1844.3165333876427,3143.5699713423464,1645.2310393249822,4446.829225353977,369.20030609073797,0.0,1400.7948213532568,333.8502389139158,102.36036181441749,551.2166171755015,0.1827709653231705,0,0,0,0,0,744,2508343.9413212943,268.0678578060006,-499.8751929359978,377.9699529194586,-505.6364670506259
2025-09,2886406.703066376,449819.3258166403,2436587.377249736,233596.27558115142,216223.05023548874,4008.8981987033,3154.2258573839986,4756.85964222,624.7490636342226,89.15469155275439,1696.3937661612792,3384.1491350690776,2140.0348099283547,4443.721658099397,324.4392716404881,0.0,1236.907205486835,300.3097919937344,84.63451424731382,534.1205119004587,0.1558405907728715,0,0,0,0,0,720,2254212.6227502646,267.79388823600084,-501.418704023999,358.74837214113813,-502.92073932737003
2025-10,3148301.389651236,454464.9004767152,2693836.4891745206,209181.7908721678,245283.10960454735,4231.587889316178,3391.132717055999,5035.71103308,610.8399199955849,118.53685950226799,1509.362218855083,3620.7479693205923,2380.8424652998856,4802.619078111731,281.15832106474164,0.0,1050.9793202171213,329.6815989308432,112.63511050570354,547.4614240952026,0.1443524123740453,0,0,0,0,0,744,2153323.5108254794,269.96092241999986,-490.32762172799903,295.7960171898594,-499.9783556851198
2025-11,3186115.999569636,396258.17464448727,2789857.824925149,175438.98808436244,220819.18656012486,4425.161110513383,3695.890239468,5204.129911931997,550.3585758951212,87.8441875656058,1342.089642165597,3874.802534618262,2905.8686924542035,5045.78969750413,243.66526122828117,0.0,923.7603650030638,306.6933146668401,87.8441875656058,534.7477242192246,0.12437029119404686,0,0,0,0,0,720,1900942.1750748511,258.1418365679983,-495.29533884600187,277.6787498132262,-497.73574502410247
2025-12,3429642.601447272,409001.3941159812,3020641.207331291,171797.39822729793,237203.99588868325,4609.734679364613,3822.850291890001,5316.903006827998,549.7330566075016,106.41868443616234,1238.5773377071978,4060.0016227571114,3019.8892451410893,5149.981217033216,230.91048148830367,0.0,843.7768874577789,318.8225751191979,106.41868443616234,527.5846955552064,0.11925481504789653,0,0,0,0,0,744,1826518.792668709,267.388454844001,-493.13259756599837,276.38800031867413,-500.49500762440675
